id,value
41103,41103
19445,19445
6788,6788
48917,48917
44999,44999
7774,7774
2872,2872
36680,36680
21493,21493
21319,21319
9033,9033
16424,16424
11227,11227
10679,10679
4682,4682
3347,3347
41457,41457
46039,46039
9454,9454
48272,48272
26200,26200
18992,18992
41719,41719
22901,22901
43432,43432
984,984
38311,38311
27878,27878
4841,4841
21542,21542
39602,39602
1292,1292
37045,37045
33835,33835
36468,36468
5092,5092
32509,32509
20456,20456
16349,16349
19933,19933
42780,42780
48826,48826
9340,9340
13630,13630
38934,38934
9637,9637
18671,18671
28519,28519
3920,3920
9393,9393
34375,34375
6577,6577
48326,48326
13936,13936
18013,18013
11093,11093
5130,5130
46675,46675
32746,32746
40606,40606
35361,35361
18868,18868
22729,22729
36888,36888
32435,32435
41841,41841
37578,37578
43342,43342
28563,28563
34949,34949
3953,3953
31890,31890
41458,41458
44832,44832
34306,34306
17868,17868
24772,24772
21883,21883
44780,44780
44748,44748
33772,33772
29598,29598
21789,21789
25355,25355
5956,5956
5709,5709
5655,5655
34022,34022
20624,20624
25881,25881
16859,16859
26199,26199
17115,17115
45944,45944
34631,34631
37899,37899
49981,49981
26323,26323
32866,32866
49902,49902
43138,43138
11359,11359
11526,11526
49056,49056
38614,38614
49563,49563
1266,1266
12610,12610
33904,33904
33054,33054
21876,21876
15578,15578
41671,41671
26400,26400
2093,2093
10373,10373
49194,49194
31421,31421
16850,16850
32999,32999
24280,24280
32483,32483
39617,39617
20546,20546
32809,32809
36311,36311
1174,1174
12701,12701
7518,7518
1854,1854
6975,6975
9621,9621
39094,39094
24973,24973
12597,12597
16644,16644
48307,48307
15458,15458
44860,44860
8541,8541
2344,2344
31614,31614
14729,14729
7772,7772
17685,17685
39363,39363
9497,9497
22672,22672
17514,17514
35555,35555
11490,11490
49434,49434
28471,28471
13033,13033
2706,2706
4230,4230
38837,38837
46440,46440
40713,40713
23733,23733
34212,34212
22271,22271
47670,47670
31715,31715
15078,15078
36590,36590
36465,36465
21137,21137
42837,42837
6418,6418
19881,19881
1575,1575
10473,10473
22538,22538
4796,4796
